Filing - Patent Issued Date,Department
03-Jan-2012,CSENG ECE Admin
03-Jan-2012,CSENG ECE Admin
03-Jan-2012,CSENG ECE Admin
10-Jan-2012,PMR Administration
10-Jan-2012,IEM Engineering In Med Adm
17-Jan-2012,NRRI CARTD Admin
17-Jan-2012,NRRI Minerals-Coleraine
17-Jan-2012,NRRI Minerals-Coleraine
17-Jan-2012,NRRI Minerals-Coleraine
17-Jan-2012,CSENG ECE Admin
17-Jan-2012,CSENG ECE Admin
17-Jan-2012,CSENG ECE Admin
17-Jan-2012,CSENG ECE Admin
17-Jan-2012,Radiology Administration
17-Jan-2012,Outside U of M
17-Jan-2012,Outside U of M
17-Jan-2012,Outside U of M
17-Jan-2012,Outside U of M
17-Jan-2012,Outside U of M
24-Jan-2012,CBS Molecular Biology
31-Jan-2012,CSENG CS&E Administration
31-Jan-2012,CSENG ECE Admin
31-Jan-2012,CSENG ECE Admin
31-Jan-2012,Outside U of M
31-Jan-2012,Outside U of M
31-Jan-2012,Outside U of M
31-Jan-2012,Outside U of M
31-Jan-2012,Outside U of M
07-Feb-2012,"Bioprod&Biosys Eng, Dept of"
07-Feb-2012,CSENG ECE Admin
07-Feb-2012,Veterinary Biomedical Science
07-Feb-2012,Veterinary Biomedical Science
07-Feb-2012,Veterinary Biomedical Science
07-Feb-2012,Veterinary Biomedical Science
14-Feb-2012,CSENG CS&E Administration
14-Feb-2012,CSENG CS&E Administration
14-Feb-2012,CSENG CS&E Administration
06-Mar-2012,CSENG ECE Admin
06-Mar-2012,CSENG ECE Admin
06-Mar-2012,CSENG ECE Admin
06-Mar-2012,CSENG ECE Admin
06-Mar-2012,PMR Administration
06-Mar-2012,IEM Engineering In Med Adm
06-Mar-2012,IEM Engineering In Med Adm
13-Mar-2012,CSENG ECE Admin
13-Mar-2012,CSENG ECE Admin
13-Mar-2012,Outside U of M
13-Mar-2012,Outside U of M
20-Mar-2012,CSENG Mech Engineering Admin
20-Mar-2012,CSENG Mech Engineering Admin
20-Mar-2012,CSENG Mech Engineering Admin
20-Mar-2012,Outside U of M
20-Mar-2012,Outside U of M
20-Mar-2012,Outside U of M
03-Apr-2012,CSENG ECE Admin
03-Apr-2012,CSENG ECE Admin
03-Apr-2012,MICRO Microbiology Admin
03-Apr-2012,MED Medicine Dept Admin
03-Apr-2012,Outside U of M
10-Apr-2012,CSENG ECE Admin
10-Apr-2012,CSENG ECE Admin
10-Apr-2012,CSENG ECE Admin
17-Apr-2012,NRRI Central Admin
17-Apr-2012,NRRI Central Admin
17-Apr-2012,NRRI Minerals-Coleraine
17-Apr-2012,NRRI Minerals-Coleraine
17-Apr-2012,NRRI Minerals-Coleraine
17-Apr-2012,NRRI Minerals-Coleraine
01-May-2012,CBS Molecular Biology
01-May-2012,CSENG ECE Admin
01-May-2012,CSENG ECE Admin
15-May-2012,NRRI CARTD Admin
15-May-2012,NRRI Minerals-Coleraine
15-May-2012,NRRI Minerals-Coleraine
15-May-2012,NRRI Minerals-Coleraine
15-May-2012,Outside U of M
15-May-2012,Outside U of M
22-May-2012,CSENG CS&E Administration
22-May-2012,CSENG Mech Engineering Admin
22-May-2012,CSENG Mech Engineering Admin
22-May-2012,CSENG Mech Engineering Admin
22-May-2012,Outside U of M
22-May-2012,Outside U of M
22-May-2012,Outside U of M
22-May-2012,Outside U of M
22-May-2012,Outside U of M
22-May-2012,Outside U of M
22-May-2012,Outside U of M
22-May-2012,Outside U of M
22-May-2012,Outside U of M
05-Jun-2012,CSENG Biomedical Eng Admin
05-Jun-2012,CSENG Biomedical Eng Admin
05-Jun-2012,MED Medicine Dept Admin
05-Jun-2012,PEDS Pediatrics Department Adm
05-Jun-2012,Radiology Administration
05-Jun-2012,Radiology Administration
05-Jun-2012,Radiology Administration
05-Jun-2012,Radiology Administration
05-Jun-2012,Radiology Administration
05-Jun-2012,Radiology Administration
05-Jun-2012,Radiology Administration
05-Jun-2012,Outside U of M
05-Jun-2012,Outside U of M
05-Jun-2012,Outside U of M
05-Jun-2012,Outside U of M
05-Jun-2012,Outside U of M
05-Jun-2012,Outside U of M
05-Jun-2012,Outside U of M
12-Jun-2012,NRRI CARTD Admin
12-Jun-2012,NRRI CARTD Admin
12-Jun-2012,NRRI CARTD Admin
19-Jun-2012,CSENG Chemistry Administration
19-Jun-2012,CSENG Chemistry Administration
26-Jun-2012,CSENG Chemistry Administration
26-Jun-2012,CSENG Chemistry Administration
26-Jun-2012,BMBB Med Regulatory Biochem
03-Jul-2012,Radiology Administration
03-Jul-2012,Radiology Administration
03-Jul-2012,Radiology Administration
03-Jul-2012,Radiology Administration
10-Jul-2012,Radiology Administration
17-Jul-2012,"Bioprod&Biosys Eng, Dept of"
17-Jul-2012,"Bioprod&Biosys Eng, Dept of"
17-Jul-2012,"Bioprod&Biosys Eng, Dept of"
17-Jul-2012,Outside U of M
17-Jul-2012,Outside U of M
17-Jul-2012,Outside U of M
24-Jul-2012,Dent Primary Care Admin
24-Jul-2012,MED Medicine Genetics Division
24-Jul-2012,MED Medicine Genetics Division
24-Jul-2012,MED Medicine Genetics Division
24-Jul-2012,MED Medicine Genetics Division
24-Jul-2012,CBS GCD Education
24-Jul-2012,CBS GCD Education
24-Jul-2012,CBS GCD Education
24-Jul-2012,CBS GCD Education
24-Jul-2012,CBS GCD Education
24-Jul-2012,CBS GCD Education
24-Jul-2012,CBS GCD Education
24-Jul-2012,CBS GCD Education
24-Jul-2012,Outside U of M
07-Aug-2012,Medicinal Chemistry
21-Aug-2012,MED Medicine Genetics Division
21-Aug-2012,MED Medicine Genetics Division
21-Aug-2012,NEUR Neurology Dept Admin
21-Aug-2012,NEUR Neurology Dept Admin
28-Aug-2012,"Bioprod&Biosys Eng, Dept of"
28-Aug-2012,"Bioprod&Biosys Eng, Dept of"
28-Aug-2012,"Bioprod&Biosys Eng, Dept of"
28-Aug-2012,MED Medicine Dept Admin
28-Aug-2012,Radiology Administration
28-Aug-2012,Surgery Administration
28-Aug-2012,Outside U of M
28-Aug-2012,Outside U of M
28-Aug-2012,Outside U of M
04-Sep-2012,CSENG CS&E Administration
04-Sep-2012,CSENG CS&E Administration
11-Sep-2012,Chemistry & Biochemistry
11-Sep-2012,Outside U of M
25-Sep-2012,Outside U of M
25-Sep-2012,Outside U of M
25-Sep-2012,Outside U of M
25-Sep-2012,Outside U of M
02-Oct-2012,CSENG Civil Engineering Admin
02-Oct-2012,CSENG Civil Engineering Admin
02-Oct-2012,CSENG Civil Engineering Admin
09-Oct-2012,CSENG Chemistry Administration
09-Oct-2012,Outside U of M
09-Oct-2012,Outside U of M
09-Oct-2012,Outside U of M
16-Oct-2012,NRRI Minerals-Coleraine
16-Oct-2012,CSENG Chemistry Administration
16-Oct-2012,CSENG Chemistry Administration
16-Oct-2012,CSENG Chemistry Administration
16-Oct-2012,CSENG Mech Engineering Admin
16-Oct-2012,CSENG Mech Engineering Admin
16-Oct-2012,Outside U of M
16-Oct-2012,Outside U of M
16-Oct-2012,Outside U of M
30-Oct-2012,Radiology Administration
30-Oct-2012,Radiology Administration
30-Oct-2012,Outside U of M
13-Nov-2012,NSU Neurosurgery Dept Admin
13-Nov-2012,NSU Neurosurgery Dept Admin
13-Nov-2012,NSU Neurosurgery Dept Admin
27-Nov-2012,CSENG Geology & Geophysics Adm
27-Nov-2012,CSENG Geology & Geophysics Adm
27-Nov-2012,CSENG Mech Engineering Admin
04-Dec-2012,CBS Molecular Biology
04-Dec-2012,Outside U of M
18-Dec-2012,NRRI Minerals-Coleraine
18-Dec-2012,NRRI Minerals-Coleraine
18-Dec-2012,NRRI Minerals-Coleraine
18-Dec-2012,NRRI Minerals-Coleraine
25-Dec-2012,Outside U of M
25-Dec-2012,Outside U of M
25-Dec-2012,Outside U of M
25-Dec-2012,Outside U of M
25-Dec-2012,Outside U of M
25-Dec-2012,Outside U of M
25-Dec-2012,Outside U of M
01-Jan-2013,CSENG Chem Eng & Mat Sci Admin
01-Jan-2013,CSENG Chem Eng & Mat Sci Admin
01-Jan-2013,CSENG Chem Eng & Mat Sci Admin
01-Jan-2013,CSENG CS&E Administration
01-Jan-2013,CSENG CS&E Administration
01-Jan-2013,CSENG Mech Engineering Admin
01-Jan-2013,Radiology Administration
01-Jan-2013,Outside U of M
01-Jan-2013,Outside U of M
01-Jan-2013,Outside U of M
01-Jan-2013,Outside U of M
08-Jan-2013,CSENG Chem Eng & Mat Sci Admin
08-Jan-2013,CSENG Chem Eng & Mat Sci Admin
08-Jan-2013,CSENG Chem Eng & Mat Sci Admin
08-Jan-2013,CSENG Chem Eng & Mat Sci Admin
18-Jan-2013,"C Ag & Natural Res, Dept of"
18-Jan-2013,"Agron&Plant Genetics, Dept of"
18-Jan-2013,"Agron&Plant Genetics, Dept of"
18-Jan-2013,"Agron&Plant Genetics, Dept of"
18-Jan-2013,"Plant Pathology, Dept of"
22-Jan-2013,BMBB Med Regulatory Biochem
22-Jan-2013,Outside U of M
22-Jan-2013,Outside U of M
22-Jan-2013,Outside U of M
22-Jan-2013,Outside U of M
29-Jan-2013,"Bioprod&Biosys Eng, Dept of"
29-Jan-2013,"Bioprod&Biosys Eng, Dept of"
29-Jan-2013,"Bioprod&Biosys Eng, Dept of"
29-Jan-2013,CSENG CS&E Administration
29-Jan-2013,CSENG Mech Engineering Admin
29-Jan-2013,CoP Pharmaceutics
29-Jan-2013,Outside U of M
29-Jan-2013,Outside U of M
29-Jan-2013,Outside U of M
29-Jan-2013,Outside U of M
29-Jan-2013,Outside U of M
29-Jan-2013,Outside U of M
29-Jan-2013,Outside U of M
29-Jan-2013,Outside U of M
29-Jan-2013,Outside U of M
29-Jan-2013,Outside U of M
29-Jan-2013,Outside U of M
05-Feb-2013,CBS Molecular Biology
05-Feb-2013,CBS Biotech Resource Center
05-Feb-2013,"Soil, Water & Climate, Dept of"
05-Feb-2013,CSENG ECE Admin
05-Feb-2013,CSENG ECE Admin
05-Feb-2013,Outside U of M
19-Feb-2013,Radiology Administration
19-Feb-2013,Radiology Administration
05-Mar-2013,CSENG CS&E Administration
05-Mar-2013,CSENG CS&E Administration
05-Mar-2013,CSENG CS&E Administration
05-Mar-2013,"CSOM Dean, Office of the"
05-Mar-2013,Outside U of M
05-Mar-2013,Outside U of M
05-Mar-2013,Outside U of M
05-Mar-2013,Outside U of M
05-Mar-2013,Outside U of M
05-Mar-2013,Outside U of M
12-Mar-2013,"Bioprod&Biosys Eng, Dept of"
12-Mar-2013,"Bioprod&Biosys Eng, Dept of"
12-Mar-2013,"Bioprod&Biosys Eng, Dept of"
12-Mar-2013,Medicinal Chemistry
12-Mar-2013,Medicinal Chemistry
12-Mar-2013,Outside U of M
12-Mar-2013,Outside U of M
12-Mar-2013,Outside U of M
19-Mar-2013,Medicinal Chemistry
19-Mar-2013,Veterinary Biomedical Science
19-Mar-2013,Veterinary Biomedical Science
02-Apr-2013,CBS Biotech Resource Center
02-Apr-2013,CSENG Chem Eng & Mat Sci Admin
02-Apr-2013,MED Medicine Dept Admin
02-Apr-2013,MED Medicine Dept Admin
02-Apr-2013,MED Medicine Dept Admin
09-Apr-2013,CBS Molecular Biology
09-Apr-2013,CBS Molecular Biology
09-Apr-2013,CSENG Mech Engineering Admin
09-Apr-2013,CSENG Mech Engineering Admin
16-Apr-2013,CSENG Chemistry Administration
16-Apr-2013,CSENG Chemistry Administration
16-Apr-2013,CSENG CS&E Administration
16-Apr-2013,Outside U of M
16-Apr-2013,Outside U of M
16-Apr-2013,Outside U of M
16-Apr-2013,Outside U of M
16-Apr-2013,Outside U of M
23-Apr-2013,CSENG CS&E Administration
23-Apr-2013,MED Medicine Dept Admin
23-Apr-2013,MED Medicine Dept Admin
23-Apr-2013,Outside U of M
23-Apr-2013,Outside U of M
23-Apr-2013,Outside U of M
23-Apr-2013,Outside U of M
23-Apr-2013,Outside U of M
23-Apr-2013,Outside U of M
30-Apr-2013,BMBB Med Regulatory Biochem
30-Apr-2013,MED Medicine Dept Admin
30-Apr-2013,MED Medicine Dept Admin
30-Apr-2013,Outside U of M
07-May-2013,IEM Engineering In Med Adm
07-May-2013,IEM Engineering In Med Adm
07-May-2013,IEM Engineering In Med Adm
07-May-2013,IEM Engineering In Med Adm
14-May-2013,CSENG CS&E Administration
14-May-2013,MICRO Microbiology Admin
14-May-2013,MICRO Microbiology Admin
14-May-2013,MED Medicine Genetics Division
14-May-2013,MED Medicine Genetics Division
14-May-2013,MED Medicine Genetics Division
14-May-2013,MED Medicine Genetics Division
14-May-2013,Outside U of M
14-May-2013,Outside U of M
14-May-2013,Outside U of M
14-May-2013,Outside U of M
14-May-2013,Outside U of M
14-May-2013,Outside U of M
14-May-2013,Outside U of M
21-May-2013,CSENG ECE Admin
21-May-2013,CSENG ECE Admin
21-May-2013,CSENG ECE Admin
21-May-2013,CSENG ECE Admin
21-May-2013,CSENG ECE Admin
21-May-2013,CSENG ECE Admin
28-May-2013,MED Medicine Genetics Division
28-May-2013,MED Medicine Genetics Division
28-May-2013,Outside U of M
04-Jun-2013,CSENG CS&E Administration
04-Jun-2013,CSENG CS&E Administration
04-Jun-2013,Outside U of M
04-Jun-2013,Outside U of M
04-Jun-2013,Outside U of M
04-Jun-2013,Outside U of M
04-Jun-2013,Outside U of M
04-Jun-2013,Outside U of M
04-Jun-2013,Outside U of M
04-Jun-2013,Outside U of M
04-Jun-2013,Outside U of M
11-Jun-2013,CSENG Chem Eng & Mat Sci Admin
11-Jun-2013,Outside U of M
11-Jun-2013,Outside U of M
11-Jun-2013,Outside U of M
11-Jun-2013,Outside U of M
11-Jun-2013,Outside U of M
18-Jun-2013,NRRI Peat Group
18-Jun-2013,Outside U of M
18-Jun-2013,Outside U of M
19-Jun-2013,"Agron&Plant Genetics, Dept of"
19-Jun-2013,"Agron&Plant Genetics, Dept of"
19-Jun-2013,"Plant Pathology, Dept of"
19-Jun-2013,Outside U of M
25-Jun-2013,NRRI Minerals-Coleraine
25-Jun-2013,NRRI Minerals-Coleraine
25-Jun-2013,NRRI Minerals-Coleraine
25-Jun-2013,IBP Anatomy Division
25-Jun-2013,IBP Cardiovascular Repair Ctr
23-Jul-2013,NRRI CARTD Admin
23-Jul-2013,CSENG CS&E Administration
23-Jul-2013,Pharmaceuticl Care & Hlth Syst
23-Jul-2013,Outside U of M
23-Jul-2013,Outside U of M
23-Jul-2013,Outside U of M
23-Jul-2013,Outside U of M
23-Jul-2013,Outside U of M
23-Jul-2013,Outside U of M
23-Jul-2013,Outside U of M
23-Jul-2013,Outside U of M
23-Jul-2013,Outside U of M
06-Aug-2013,CSENG Chem Eng & Mat Sci Admin
06-Aug-2013,CSENG Chem Eng & Mat Sci Admin
06-Aug-2013,CSENG Chem Eng & Mat Sci Admin
06-Aug-2013,Medicinal Chemistry
06-Aug-2013,MED Medicine Dept Admin
06-Aug-2013,MED Medicine Dept Admin
06-Aug-2013,MED Medicine Dept Admin
06-Aug-2013,MED Medicine Dept Admin
06-Aug-2013,Radiology Administration
06-Aug-2013,Radiology Administration
06-Aug-2013,Radiology Administration
06-Aug-2013,Radiology Administration
06-Aug-2013,Outside U of M
13-Aug-2013,CSENG Chemistry Administration
13-Aug-2013,Medicinal Chemistry
13-Aug-2013,Surgery Administration
13-Aug-2013,Surgery Administration
13-Aug-2013,Surgery Administration
27-Aug-2013,Radiology Administration
27-Aug-2013,Radiology Administration
27-Aug-2013,Radiology Administration
27-Aug-2013,Radiology Administration
10-Sep-2013,CSENG CS&E Administration
10-Sep-2013,CSENG CS&E Administration
10-Sep-2013,CSENG CS&E Administration
10-Sep-2013,Outside U of M
10-Sep-2013,Outside U of M
10-Sep-2013,Outside U of M
10-Sep-2013,Outside U of M
10-Sep-2013,Outside U of M
10-Sep-2013,Outside U of M
10-Sep-2013,Outside U of M
10-Sep-2013,Outside U of M
10-Sep-2013,Outside U of M
10-Sep-2013,Outside U of M
10-Sep-2013,Outside U of M
10-Sep-2013,Outside U of M
10-Sep-2013,Outside U of M
10-Sep-2013,Outside U of M
10-Sep-2013,Outside U of M
10-Sep-2013,Outside U of M
10-Sep-2013,Outside U of M
10-Sep-2013,Outside U of M
10-Sep-2013,Outside U of M
10-Sep-2013,Outside U of M
10-Sep-2013,Outside U of M
17-Sep-2013,NRRI CARTD Admin
17-Sep-2013,NRRI Minerals-Coleraine
17-Sep-2013,NRRI Minerals-Coleraine
17-Sep-2013,NRRI Minerals-Coleraine
17-Sep-2013,NRRI Minerals-Coleraine
17-Sep-2013,NRRI Minerals-Coleraine
17-Sep-2013,Outside U of M
17-Sep-2013,Outside U of M
15-Oct-2013,Dent Primary Care Admin
15-Oct-2013,Outside U of M
22-Oct-2013,MICRO Microbiology Admin
22-Oct-2013,Outside U of M
22-Oct-2013,Outside U of M
22-Oct-2013,Outside U of M
22-Oct-2013,Outside U of M
12-Nov-2013,Medicinal Chemistry
12-Nov-2013,MED Medicine Dept Admin
12-Nov-2013,PEDS Pediatrics Department Adm
12-Nov-2013,PEDS Pediatrics Department Adm
19-Nov-2013,CSENG ECE Admin
19-Nov-2013,CSENG ECE Admin
19-Nov-2013,GCD MS Beckman Center
19-Nov-2013,MED Medicine Genetics Division
19-Nov-2013,MED Medicine Genetics Division
19-Nov-2013,Radiology Administration
19-Nov-2013,CBS GCD Education
19-Nov-2013,Outside U of M
19-Nov-2013,Outside U of M
19-Nov-2013,Outside U of M
19-Nov-2013,Outside U of M
26-Nov-2013,PEDS Pediatrics Department Adm
26-Nov-2013,Outside U of M
26-Nov-2013,Outside U of M
26-Nov-2013,Outside U of M
26-Nov-2013,Outside U of M
03-Dec-2013,CSENG Chemistry Administration
03-Dec-2013,CSENG Chemistry Administration
